,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
178,"POPSTAR (feat. Drake)","DJ Khaled",86941,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,2020-10-08
179,Memories,"Maroon 5",86698,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-10-08
180,goosebumps,"Travis Scott",86621,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020-10-08
181,"Vem Me Satisfazer","MC Ingryd",86216,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,2020-10-08
182,"Deixa Tudo Como Tá - Ao Vivo",Thiaguinho,85842,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r,2020-10-08
183,"I Don't Care (with Justin Bieber)","Ed Sheeran",85357,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-10-08
184,"Don't Say Goodbye (feat. Tove Lo)",Alok,85330,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,2020-10-08
185,"SEM LIMITES","WC no Beat",84753,https://open.spotify.com/track/3JZwQT1rIxU3wdtF7eneee,2020-10-08
186,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",84683,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI,2020-10-08
187,"Toosie Slide",Drake,84646,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,2020-10-08
188,"Fatalmente / Separação / Temporal - Ao Vivo","Grupo Menos É Mais",84587,https://open.spotify.com/track/0mpqoslgBvHcnbNZhK8wBO,2020-10-08
189,"Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar - Ao Vivo","Grupo Menos É Mais",83413,https://open.spotify.com/track/3COVZV6VRP4sdXiWTB1XTM,2020-10-08
190,"Tócame (feat. Arcangel & De La Ghetto)",Anitta,82514,https://open.spotify.com/track/4cno0k9jDEFpLAQyHNjqVx,2020-10-08
191,"Shape of You","Ed Sheeran",82392,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2020-10-08
192,"Tempo Perdido","Legião Urbana",82376,https://open.spotify.com/track/7MnT7msJZg3XBAS0OTfGrB,2020-10-08
193,"Tijolão - Ao Vivo","Jorge & Mateus",81898,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2020-10-08
194,"Love To Hate Me",BLACKPINK,81825,https://open.spotify.com/track/7iKDsPfLT0d5mu2htfMKBZ,2020-10-08
195,Cabaré,"Dj Guuga",81669,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D,2020-10-08
196,"Lençol Dobrado","João Gustavo e Murilo",81305,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2020-10-08
197,"Agora Eu Pego Mesmo","Os Barões Da Pisadinha",80504,https://open.spotify.com/track/6OsMu5ntYteQzcCrZVWA33,2020-10-08
198,"Cupido Fdp 2","MC Rick",80478,https://open.spotify.com/track/1D4Jo67A2x8qvAUKu2S12y,2020-10-08
199,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",80453,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW,2020-10-08
