,Position,"Track Name",Artist,Streams,URL,data_chart
174,"Head & Heart (feat. MNEK)","Joel Corry",89314,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020-12-01
175,"(não) era amor","GIULIA BE",88712,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi,2020-12-01
176,Inamorável,"Luíza & Maurílio",88636,https://open.spotify.com/track/1erfWPemd1Vg5aQYQpW1Pm,2020-12-01
177,Believer,"Imagine Dragons",88609,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-12-01
178,Confidencial,"Wesley Safadão",88416,https://open.spotify.com/track/767WBxhrD8kRfJ4cYZQO9G,2020-12-01
179,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",88248,https://open.spotify.com/track/6qFTfWG7Hz3q9HxRpNVJo1,2020-12-01
180,"Qual é a do amor (feat. Atitude 67) - Ao vivo","João Gustavo e Murilo",88030,https://open.spotify.com/track/3rfPuNpqMHQKXIPoEF5iFB,2020-12-01
181,"Gorilla Roxo",Matuê,87672,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n,2020-12-01
182,"Amor de Que","Pabllo Vittar",87575,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP,2020-12-01
183,"Você Nem É Tudo Isso","Marília Mendonça",86887,https://open.spotify.com/track/0zhnWntcmhChM7PXSWuNNq,2020-12-01
184,"Levitating (feat. DaBaby)","Dua Lipa",86576,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-12-01
185,"Holy (feat. Chance The Rapper)","Justin Bieber",86279,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020-12-01
186,DÁKITI,"Bad Bunny",85805,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,2020-12-01
187,"Os Mandrake Curte a Vida","MC Paulin da Capital",85728,https://open.spotify.com/track/5J1xChbEwiI3q371r7mDOg,2020-12-01
188,"Pra Você Guardei O Amor","Nando Reis",85477,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv,2020-12-01
189,"Adore You","Harry Styles",85129,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-12-01
190,Memories,"Maroon 5",84923,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-12-01
191,"Call 911",Trunks,84779,https://open.spotify.com/track/023uwSNZjqRpulKkwOGYxn,2020-12-01
192,Reincidente,"Felipe Araújo",84058,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8,2020-12-01
193,"Eu vou tirar você do cabaré","Israell Muniz",83845,https://open.spotify.com/track/3yBOCItZQIjGV0PT5UJCeS,2020-12-01
194,Escorpião,Xamã,83446,https://open.spotify.com/track/4G02O6Qd846OFww8HHQamh,2020-12-01
195,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",83079,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020-12-01
196,"Dona de mim",IZA,82981,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN,2020-12-01
197,"Poesia Acústica #7: Céu Azul","Pineapple StormTv",82730,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW,2020-12-01
198,"Angels Like You","Miley Cyrus",82696,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,2020-12-01
199,Iluminado,Kawe,82686,https://open.spotify.com/track/3Y3LVTjdbZ35hGLhvYJxAq,2020-12-01
200,"Eu Vou","Pabllo Vittar",82124,https://open.spotify.com/track/6tkuCCpBNnAWjbOv2MHIgO,2020-12-01
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",622859,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,2020-12-02
2,"Ilusão (Cracolândia)","MC Hariel",588828,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif,2020-12-02
3,"Investe Em Mim","Jonas Esticado",515278,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-12-02
4,"Amor ou o Litrão","Petter Ferraz",502560,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1,2020-12-02
5,"Só Tem Eu","Zé Felipe",452292,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-12-02
